Name,Start,End,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid,Used
Tim McCarver,1959,1980,1909,6206,97,590,645,61,8.8 %,6.8 %,0.117,0.277,0.271,0.337,0.388,0.322,100,-4.2,-4.9,50.3,27.8,1008378,N
Willie McCovey,1959,1980,2588,9691,521,1229,1555,26,13.9 %,16.0 %,0.245,0.273,0.27,0.374,0.515,0.388,145,-0.4,498.7,-206.6,67.4,1008423,N
Manny Mota,1962,1982,1536,4227,31,496,438,50,6.8 %,7.6 %,0.085,0.323,0.304,0.355,0.389,0.334,112,-4.4,54,-60.3,15,1009259,N
Willie Stargell,1962,1982,2360,9026,475,1195,1540,17,10.4 %,21.4 %,0.247,0.314,0.282,0.36,0.529,0.387,145,-0.8,457.5,-185,62.9,1012426,N
Vic Davalillo,1963,1980,1458,4296,36,509,329,125,4.9 %,9.8 %,0.085,0.303,0.279,0.315,0.364,0.304,93,5.2,-26.7,20.6,12.8,1003012,N
Willie Horton,1963,1980,2028,8052,325,873,1163,20,7.7 %,16.3 %,0.183,0.292,0.273,0.332,0.457,0.351,119,-8.5,160.8,-157.7,27.5,1006038,N
Rusty Staub,1963,1985,2951,11229,292,1189,1466,47,11.2 %,7.9 %,0.151,0.28,0.279,0.362,0.431,0.353,122,-0.5,282.2,-216,47.9,1012440,N
Paul Blair,1964,1980,1947,6673,134,776,620,171,6.7 %,13.1 %,0.131,0.271,0.25,0.302,0.382,0.309,97,0.9,-20.8,160.3,35.3,1001031,N
Bert Campaneris,1964,1983,2328,9625,79,1181,646,649,6.4 %,11.9 %,0.083,0.288,0.259,0.311,0.342,0.298,90,57.7,-56,181.5,44.9,1001868,N
Tony Perez,1964,1986,2777,10861,379,1272,1652,49,8.5 %,17.2 %,0.184,0.308,0.279,0.341,0.463,0.356,121,-0.7,263,-75.1,58.9,1010188,N
Lou Piniella,1964,1984,1747,6362,102,651,766,32,5.8 %,8.5 %,0.118,0.303,0.291,0.333,0.409,0.33,107,-8.1,40,-126.2,12.3,1010356,N
Mark Belanger,1965,1982,2016,6602,20,676,389,167,8.7 %,12.7 %,0.052,0.261,0.228,0.3,0.28,0.272,71,6.4,-206.4,345.6,34.9,1000786,N
Bud Harrelson,1965,1980,1533,5516,7,539,267,127,11.5 %,11.8 %,0.052,0.271,0.236,0.327,0.288,0.289,80,4.6,-116.8,115.5,19.1,1005387,N
Ken Henderson,1965,1980,1444,5227,122,595,576,86,11.3 %,14.6 %,0.139,0.282,0.257,0.343,0.396,0.334,106,2.6,38,-43.4,17.9,1005634,N
Lee May,1965,1982,2071,8219,354,959,1244,39,5.9 %,19.1 %,0.192,0.292,0.267,0.313,0.459,0.343,116,-3.4,139.4,-159.5,27.6,1008303,N
Bobby Murcer,1965,1983,1908,7718,252,972,1043,127,11.2 %,10.9 %,0.168,0.282,0.277,0.357,0.445,0.359,124,-1.3,205.9,-156.6,32.6,1009338,N
Rick Monday,1966,1984,1986,7162,241,950,775,98,12.9 %,21.1 %,0.179,0.312,0.264,0.361,0.443,0.361,125,-12.9,187,-132.8,31.1,1009051,N
